Promotion_Opportunities_V24,Job_Interest_V25,No_Work_Life_Balance_V38,Management_Relation_V42,Workplace_Relation_V43,PCA1,PCA2,Job_Satisfaction_V44
4,2,4,2,2,0.41262432379384617,0.8807280823466221,3
4,2,4,1,1,-0.7518657031840011,1.4310932755032573,2
4,4,3,2,1,1.0445952791721604,1.1167417339089307,3
5,3,3,3,3,2.7047537233875096,0.30662591018223967,5
5,5,5,3,2,3.0371307868558555,2.880899533530819,3
2,1,5,1,1,-2.326281393308273,1.0530599580312978,2
4,3,4,3,2,1.5282222510426478,0.9918838162397497,3
3,1,2,5,1,0.5584868272225414,-1.8544576421346333,2
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,3
3,1,3,3,1,-0.6105768089703097,-0.5895236891095261,2
2,2,3,3,2,0.15353582219168788,-0.9449894824230571,2
3,3,5,2,2,0.44698180011943806,1.6122904915703082,1
3,1,3,2,1,-1.145176311748407,-0.34676670789468433,3
3,1,2,3,1,-0.5107121783336537,-1.3689436797049497,3
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,3
2,1,4,2,2,-1.0619267356937694,-0.2767252257207609,2
3,2,2,2,3,0.7954677917584522,-1.3874904072657253,3
2,2,2,3,4,1.5131815012278438,-2.3396258969020676,3
3,2,4,2,2,-0.03415199371460974,0.4789577858669154,3
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,2
2,1,1,2,2,-0.7623328437838012,-2.6149851975070315,2
3,2,4,3,1,-0.129443015136262,0.5438090165938669,2
3,1,3,3,1,-0.6105768089703097,-0.5895236891095261,3
3,3,1,3,2,1.38103982544416,-1.7481464520262278,5
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,3
2,1,4,2,1,-1.691817259893519,0.03088298622103243,1
4,2,3,2,2,0.5124889544305022,0.10130809175119854,3
4,2,3,2,2,0.5124889544305022,0.10130809175119854,2
2,1,4,1,2,-1.596526238471867,-0.0339682445059192,2
2,1,2,3,1,-0.9574884958421096,-1.7707139761846564,4
3,3,4,2,2,0.5468464307560942,0.8328705009748847,4
2,2,5,2,1,-1.2106834660594714,1.1642156919244253,3
3,3,4,2,2,0.5468464307560942,0.8328705009748847,5
3,3,4,4,2,1.6160454363122894,0.34735653854520127,3
3,2,2,3,3,1.33006729453655,-1.630247388480567,3
4,2,2,3,1,0.5170625636455061,-0.6132606681172734,4
5,2,5,2,3,1.389426534865396,1.7543101574799593,3
3,2,3,2,1,-0.5641778872777035,0.00714600721328497,3
3,2,3,2,4,1.3254936853215462,-0.9156786286120951,3
3,1,3,3,2,0.019313715229440104,-0.8971319010513196,3
4,3,4,2,1,0.3637322240648005,1.542249009396385,3
3,1,3,4,2,0.5539132180075376,-1.1398888822661613,2
3,2,1,2,2,0.26544189819535846,-1.8593021859193553,5
3,2,3,2,2,0.06571263692204636,-0.3004622047285084,3
3,2,3,3,2,0.6003121397001439,-0.5432191859433502,2
4,2,4,2,2,0.41262432379384617,0.8807280823466221,2
4,1,1,3,1,0.035928769811458316,-1.7465933738206663,3
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,2
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,2
1,1,3,1,2,-1.9434379253436669,-1.2151585315810496,2
3,1,4,1,1,-1.7796404451631607,0.675410263915581,3
4,2,4,2,2,0.41262432379384617,0.8807280823466221,3
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,2
3,1,4,2,1,-1.2450409423850632,0.43265328270073933,2
2,2,5,2,2,-0.5807929418597217,0.8566074799826319,3
2,2,3,3,3,0.7834263463914376,-1.2525976943648502,3
3,2,4,2,1,-0.6640425179143595,0.7865659978087087,3
2,2,3,1,1,-1.545553707564257,-0.15186730805158016,1
2,1,4,2,1,-1.691817259893519,0.03088298622103243,2
2,2,2,2,1,-0.9110895741495034,-1.1740442798618453,3
2,2,4,2,2,-0.48092831122306573,0.07718748938720835,2
5,2,3,5,2,2.563063780273251,-0.2251925554136199,5
1,1,3,2,1,-2.0387289467653193,-1.150307300854098,2
3,2,5,1,1,-1.298506651329113,1.808742969618974,1
5,4,2,3,2,2.7557262542951197,0.18872684663657874,7
4,2,4,3,2,0.9472238265719438,0.6379711011317803,2
2,1,3,3,4,0.8323184461204838,-1.9141186214146129,2
2,2,3,1,1,-1.545553707564257,-0.15186730805158016,2
2,1,3,1,2,-1.496661607835211,-0.8133882351013428,2
4,3,5,3,3,2.0582481446057415,1.46369559489338,5
2,2,3,2,2,-0.38106368058640966,-0.7022325012082153,2
2,1,4,2,1,-1.691817259893519,0.03088298622103243,3
3,3,3,2,2,0.6467110613927503,0.053450510379461,4
3,2,3,1,1,-1.0987773900558009,0.24990298842812672,3
2,2,2,4,2,0.7879999556064415,-1.9671664542333223,3
3,2,4,3,1,-0.129443015136262,0.5438090165938669,3
3,5,5,2,2,1.6089786490608458,2.320115921786247,4
